mach;aoa;cl;cm;fidelity
0.7116666666666667;0.6666666666666666;0.3149642843579249;0.0034733189678933;low
0.7116666666666667;0.8333333333333333;0.33985094937382976;0.00361541542829;low
0.7116666666666667;1.0;0.3639612548082531;0.0025644635801166;low
0.7116666666666667;1.1666666666666663;0.38929882612291195;0.001960342373325;low
0.7116666666666667;1.3333333333333333;0.415683757089542;0.0023309037960117;low
0.7116666666666667;1.5;0.4396538116653661;0.0022147217845718;low
0.7116666666666667;1.6666666666666663;0.46211003443249854;0.0009955107414946;low
0.7116666666666667;1.8333333333333333;0.48376083885191057;0.0001349540259013;low
0.7116666666666667;2.0;0.5033960169287297;0.0036779070047695;low
0.7116666666666667;2.1666666666666665;0.5209411470964836;0.0064167361964555;low
0.7116666666666667;2.333333333333333;0.5376873659000784;0.0046907203894973;low
0.7116666666666667;2.5;0.5542537642820944;0.00502879964081;low
0.7116666666666667;2.6666666666666665;0.5655949046585951;0.0039409564621756;low
0.7116666666666667;2.833333333333333;0.5812710162596547;0.0027286092964778;low
0.7116666666666667;3.0;0.596333192517889;0.0015800478524872;low
0.7116666666666667;3.1666666666666665;0.6072903257228147;0.0008675806468531;low
0.7116666666666667;3.333333333333333;0.6165917157696283;0.0008862036153515;low
0.7116666666666667;3.5;0.6237324181550957;-0.0002690154805429;low
0.7116666666666667;3.6666666666666665;0.6333055081428546;-0.0014994838850127;low
0.7116666666666667;3.833333333333333;0.6404263546953515;-0.0026207736638771;low
0.7116666666666667;4.0;0.6472419990956091;-0.0041173816125714;low
0.7174999999999999;0.0;0.2170170907920596;0.0049515571412033;low
0.7174999999999999;0.1666666666666666;0.24183767164813444;0.0049624541109804;low
0.7174999999999999;0.3333333333333333;0.26716628616471777;0.0049625153218424;low
0.7174999999999999;0.5;0.2919266585974168;0.0049548249282557;low
0.7174999999999999;0.6666666666666666;0.31331907736553005;0.0049490351982366;low
0.7174999999999999;0.8333333333333333;0.3392153276827597;0.0051296604613645;low
0.7174999999999999;1.0;0.3640764546478024;0.0037937415941275;low
0.7174999999999999;1.1666666666666663;0.390922925243372;0.0030241669944401;low
0.7174999999999999;1.3333333333333333;0.41929444326014265;0.0034992286012407;low
0.7174999999999999;1.5;0.444052234220479;0.0033457741893021;low
0.7174999999999999;1.6666666666666663;0.46670512069313796;0.0017668159605361;low
0.7174999999999999;1.8333333333333333;0.4883756904858104;0.0010602537986322;low
0.7174999999999999;2.0;0.508959585453942;0.0035852931558461;low
0.7174999999999999;2.1666666666666665;0.5264748404169046;0.0050890247614964;low
0.7174999999999999;2.333333333333333;0.5416883830121377;0.0032810268804875;low
0.7174999999999999;2.5;0.5585464081483209;0.0036823994555268;low
0.7174999999999999;2.6666666666666665;0.5682924869594033;0.0022928883085159;low
0.7174999999999999;2.833333333333333;0.5823422466860586;0.0007545418234856;low
0.7174999999999999;3.0;0.5960817342210032;-0.0007080497818713;low
0.7174999999999999;3.1666666666666665;0.6051977570354978;-0.0016141569064154;low
0.7174999999999999;3.333333333333333;0.6121105300129077;-0.0015904759585713;low
0.7174999999999999;3.5;0.6184550396633127;-0.0030600490694545;low
0.7174999999999999;3.6666666666666665;0.6257897592833125;-0.0046274758006197;low
0.7174999999999999;3.833333333333333;0.6307335019667946;-0.0060441069744236;low
0.7174999999999999;4.0;0.636366941272382;-0.0079858337374392;low
0.7233333333333333;0.0;0.21529470888484628;0.0062562800606679;low
0.7233333333333333;0.1666666666666666;0.239806132023926;0.0062648857965233;low
0.7233333333333333;0.3333333333333333;0.264765181227305;0.0062658491023254;low
0.7233333333333333;0.5;0.29035597995302004;0.0062572736741278;low
